Setting,Prompt,Mean weight
Exp1 RL general backbone,0,0.00558198302266858
Exp1 RL general backbone,1,0.01950777516579587
Exp1 RL general backbone,2,0.004963747019525773
Exp1 RL general backbone,3,0.3174933731736696
Exp1 RL general backbone,4,0.012227135924008125
Exp1 RL general backbone,5,0.005922513900796365
Exp1 RL general backbone,6,0.006933924130046171
Exp1 RL general backbone,7,0.0027342441716316844
Exp1 RL general backbone,8,0.002989786639816669
Exp1 RL general backbone,9,0.004089938627165503
Exp1 RL general backbone,10,0.00917140607862614
Exp1 RL general backbone,11,0.007225332371085611
Exp1 RL general backbone,12,0.010863737043253146
Exp1 RL general backbone,13,0.00719432792855092
Exp1 RL general backbone,14,0.009146354673818668
Exp1 RL general backbone,15,0.003360376867004603
Exp1 RL general backbone,16,0.005298589102230497
Exp1 RL general backbone,17,0.009257139992519614
Exp1 RL general backbone,18,0.5513040944425512
Exp1 RL general backbone,19,0.004734219262133535
Exp3 RL math-trained,0,0.004254056270523074
Exp3 RL math-trained,1,0.01642923533578966
Exp3 RL math-trained,2,0.4333789989386118
Exp3 RL math-trained,3,0.004175792869003567
Exp3 RL math-trained,4,0.011630511315401087
Exp3 RL math-trained,5,0.0432055744951855
Exp3 RL math-trained,6,0.057606579053799616
Exp3 RL math-trained,7,0.14653052447802917
Exp3 RL math-trained,8,0.005337384861447002
Exp3 RL math-trained,9,0.0035372841353030413
Exp3 RL math-trained,10,0.013042807339325582
Exp3 RL math-trained,11,0.011869579970898774
Exp3 RL math-trained,12,0.0436208003014891
Exp3 RL math-trained,13,0.0967348631107057
Exp3 RL math-trained,14,0.0047389369301209855
Exp3 RL math-trained,15,0.009758047655385786
Exp3 RL math-trained,16,0.03685497201928322
Exp3 RL math-trained,17,0.028198235820049676
Exp3 RL math-trained,18,0.014869852367523067
Exp3 RL math-trained,19,0.014225963986435676
Exp4 transferred RL,0,0.04428512994496546
Exp4 transferred RL,1,0.05576483514428229
Exp4 transferred RL,2,0.04394843854953431
Exp4 transferred RL,3,0.13463321562582475
Exp4 transferred RL,4,0.036298365628034714
Exp4 transferred RL,5,0.03394223822364082
Exp4 transferred RL,6,0.028403283663834017
Exp4 transferred RL,7,0.03072124384513084
Exp4 transferred RL,8,0.028734450164258796
Exp4 transferred RL,9,0.027880155661449097
Exp4 transferred RL,10,0.053057224425494987
Exp4 transferred RL,11,0.04736458273199221
Exp4 transferred RL,12,0.03459353004020891
Exp4 transferred RL,13,0.035622661984140803
Exp4 transferred RL,14,0.03156893036502659
Exp4 transferred RL,15,0.03237151184526694
Exp4 transferred RL,16,0.03789680248509084
Exp4 transferred RL,17,0.0594191252874596
Exp4 transferred RL,18,0.16847645162044825
Exp4 transferred RL,19,0.03501782079253394
